timestamp,author_x,message_x,author_y,message_y
2024-09-10 20:59:29,BLAKE PERDUE,"SENATORS ARE TOO OLD EVEN NIXON REALIZED THIS, THE FEDERAL GOVERNMENT IS KILLING US",BLAKE PERDUE,"SENATORS ARE TOO OLD EVEN NIXON REALIZED THIS, THE FEDERAL GOVERNMENT IS KILLING US"
2024-09-10 20:59:30,Lora,Summer of hate????,Lora,Summer of hate????
2024-09-10 20:59:32,Sikies Cordova,BLM  for trump ,Sikies Cordova,BLM  for trump 
2024-09-10 20:59:33,GiratinaTech,who do yall think it's winning this debate? I'd say Trump because of Kamala's record and she has no policies to stand on,GiratinaTech,who do yall think it's winning this debate? I'd say Trump because of Kamala's record and she has no policies to stand on
2024-09-10 20:59:36,BW,any female maga in the house :partying_face:,BW,any female maga in the house :partying_face:
2024-09-10 20:59:37,younglink309,the fact that this whole production is run like a football game is fun.,younglink309,the fact that this whole production is run like a football game is fun.
2024-09-10 20:59:50,Emanuel N,Trump's deferrment ...BONES SPur,Emanuel N,Trump's deferrment ...BONES SPur
2024-09-10 21:00:02,Austin | Recreational Director,Enjoy your debate everyone. Im turning off comments now have a good one:beaming_face_with_smiling_eyes:,Austin | Recreational Director,Enjoy your debate everyone. Im turning off comments now have a good one:beaming_face_with_smiling_eyes:
2024-09-10 21:00:10,4Running Free,yeah that's what I thought lol,4Running Free,yeah that's what I thought lol
2024-09-10 21:00:11,Frank Briley,I just hope someone wins !,Frank Briley,I just hope someone wins !
2024-09-10 21:00:16,Truth,Everybody is for Trump ,Truth,Everybody is for Trump 
2024-09-10 21:00:18,Chris Kerr,TRUMP 2024!!!,Chris Kerr,TRUMP 2024!!!
2024-09-10 21:00:22,GiratinaTech,hey you too austin,GiratinaTech,hey you too austin
2024-09-10 21:00:26,Emanuel N,Trump 20NEVER,Sikies Cordova,Felons for trump 
2024-09-10 21:00:26,Sikies Cordova,Felons for trump ,Sikies Cordova,Felons for trump 
2024-09-10 21:00:27,Benjamin Shelton,and remember next election I'm running for president so vote for me and I will be your president,Curt ,reverse racism
2024-09-10 21:00:27,Curt ,reverse racism,Curt ,reverse racism
2024-09-10 21:00:32,Emanuel N,TRUMP 2024 4 PRISON,Emanuel N,TRUMP 2024 4 PRISON
2024-09-10 21:00:38,younglink309,this is even worse than a GDQ twitch chat...and that's saying something,younglink309,this is even worse than a GDQ twitch chat...and that's saying something
2024-09-10 21:00:38,Charlie Beehr,black voters for trump!,younglink309,this is even worse than a GDQ twitch chat...and that's saying something
2024-09-10 21:00:41,Emanuel N,Trump 2024 VP of RUSSIA,Emanuel N,Trump 2024 VP of RUSSIA
2024-09-10 21:00:43,Curt ,whetes my 10K,Curt ,whetes my 10K
2024-09-10 21:00:47,Angel Hill,Say no to kamal toe :face_with_hand_over_mouth:,Angel Hill,Say no to kamal toe :face_with_hand_over_mouth:
2024-09-10 21:00:48,saw htoo saw,Trumpp,saw htoo saw,Trumpp
2024-09-10 21:01:04,Lora,Tech we’re have you been lately you mean trump doesn’t have policies ,Lora,Tech we’re have you been lately you mean trump doesn’t have policies 
2024-09-10 21:01:10,Emanuel N,No TRUMP,Emanuel N,No TRUMP
2024-09-10 21:01:18,Truth,Dems hate debates like this .. lol,Truth,Dems hate debates like this .. lol
2024-09-10 21:01:22,BLAKE PERDUE,DOWN WITH THE FEDERAL GOVERNMENT DOWN WITH THE LIARS AND THEVES AND COWARDS TRUMP 2024,BLAKE PERDUE,DOWN WITH THE FEDERAL GOVERNMENT DOWN WITH THE LIARS AND THEVES AND COWARDS TRUMP 2024
2024-09-10 21:01:23,Room6,I want a President that can finish a sentence,Room6,I want a President that can finish a sentence
2024-09-10 21:01:30,Charlie Beehr,trump will destroy Kamala,Charlie Beehr,trump will destroy Kamala
2024-09-10 21:01:33,Emanuel N,WIth NO fact checkers?,Great to be back ,everything unaffordable:hand-orange-covering-eyes::hand-orange-covering-eyes:
2024-09-10 21:01:33,Great to be back ,everything unaffordable:hand-orange-covering-eyes::hand-orange-covering-eyes:,Great to be back ,everything unaffordable:hand-orange-covering-eyes::hand-orange-covering-eyes:
2024-09-10 21:01:34,Curt ,facts and these biden goons will argue,Curt ,facts and these biden goons will argue
2024-09-10 21:01:37,Chris Kerr,TRUMP TRUMP TRUMP TRUMP,Chris Kerr,TRUMP TRUMP TRUMP TRUMP
2024-09-10 21:01:42,Joseph Demarco,the illegals are the Democratic new buddies,Joseph Demarco,the illegals are the Democratic new buddies
2024-09-10 21:01:43,Lora,Felons for awesome ,Lora,Felons for awesome 
2024-09-10 21:01:46,Jim Wilson,Russia would make a great trading partner. Not EU like France,Jim Wilson,Russia would make a great trading partner. Not EU like France
2024-09-10 21:01:50,Curt ,fight fight fight,Curt ,fight fight fight
2024-09-10 21:01:57,Emanuel N,Fact Checkers is Trump's worst nightmare,Emanuel N,Fact Checkers is Trump's worst nightmare
2024-09-10 21:02:00,Curt ,lies,Curt ,lies
2024-09-10 21:02:02,4Running Free,Veterans for TRUMP!!!,4Running Free,Veterans for TRUMP!!!
2024-09-10 21:02:09,Teresa Worobetz,"The right throws rocks, stick and calls names. Harris shares what she will do, no name calling",Teresa Worobetz,"The right throws rocks, stick and calls names. Harris shares what she will do, no name calling"
2024-09-10 21:02:15,The Amazing Robin Hood,@Emanuel N Facts. ,The Amazing Robin Hood,@Emanuel N Facts. 
2024-09-10 21:02:22,BLAKE PERDUE,VETERANS FOR TRUMP MARINES FOR TRUMP,BLAKE PERDUE,VETERANS FOR TRUMP MARINES FOR TRUMP
2024-09-10 21:02:23,Joseph Demarco,Joe should be thrown in prison for all these lies,Joseph Demarco,Joe should be thrown in prison for all these lies
2024-09-10 21:02:36,Ola,@wfaa ready to go! enjoy this,Ola,@wfaa ready to go! enjoy this
2024-09-10 21:02:41,Emanuel N,Sane People 4 HARRIS,Emanuel N,Sane People 4 HARRIS
2024-09-10 21:02:45,GiratinaTech,Lora take a look at Agenda 47 before saying trump has no policies. Kamala literally has no policies of any kind on her website,GiratinaTech,Lora take a look at Agenda 47 before saying trump has no policies. Kamala literally has no policies of any kind on her website
2024-09-10 21:02:48,BLAKE PERDUE,"CHENEY KILLED TROOPS, BIDEN KILLED TROOPS, KAMALA KILLED TROOPS",BLAKE PERDUE,"CHENEY KILLED TROOPS, BIDEN KILLED TROOPS, KAMALA KILLED TROOPS"
2024-09-10 21:02:57,Truth,Its been an hour already?,Truth,Its been an hour already?
2024-09-10 21:03:03,younglink309,Ron Paul 2024,younglink309,Ron Paul 2024
2024-09-10 21:03:06,Lora,Air Force vets for Harris,Lora,Air Force vets for Harris
2024-09-10 21:03:08,Ola,she wins the handshake,Ola,she wins the handshake
2024-09-10 21:03:10,Charlie Beehr,trump will save the black community; don't be fooled by Kamala is a puppet,Charlie Beehr,trump will save the black community; don't be fooled by Kamala is a puppet
2024-09-10 21:03:17,Natalie,Depends how u define sanity,Natalie,Depends how u define sanity
2024-09-10 21:03:18,Curt ,whities for Trump,Curt ,whities for Trump
2024-09-10 21:03:20,4Running Free,"serve your country, then talk ish Emanuel",4Running Free,"serve your country, then talk ish Emanuel"
2024-09-10 21:03:21,502 Paranormal Crue,Is this pre-recorded what happened to the debate between Trump and Harris.,502 Paranormal Crue,Is this pre-recorded what happened to the debate between Trump and Harris.
2024-09-10 21:03:23,Truth,They say every year is the hottest LOL,Truth,They say every year is the hottest LOL
2024-09-10 21:03:30,Teresa Worobetz,Trump & Team assaulted a female Arlington caretaker ,Teresa Worobetz,Trump & Team assaulted a female Arlington caretaker 
2024-09-10 21:03:31,BLAKE PERDUE,"IT'S ALWAYS THE SAME YOU'RE LIVING A DREAM AND CALLING YOUR SELF SANE, THEY'RE KILLING YOU, THEY HATE YOU, VOTE TRUMP",BLAKE PERDUE,"IT'S ALWAYS THE SAME YOU'RE LIVING A DREAM AND CALLING YOUR SELF SANE, THEY'RE KILLING YOU, THEY HATE YOU, VOTE TRUMP"
2024-09-10 21:03:32,younglink309,USAF vets for the world ending solar flare,younglink309,USAF vets for the world ending solar flare
2024-09-10 21:03:43,Ola,"watch the debate elsewhere, chat here",Ola,"watch the debate elsewhere, chat here"
2024-09-10 21:03:45,BLAKE PERDUE,RON PAUL 2024,BLAKE PERDUE,RON PAUL 2024
2024-09-10 21:03:50,Truth,Doom and gloom,Truth,Doom and gloom
2024-09-10 21:03:51,Charlie Beehr,alright everyone on board for trump!,Charlie Beehr,alright everyone on board for trump!
2024-09-10 21:03:56,Rebound2U &U2,felons for Trump,Rebound2U &U2,felons for Trump
2024-09-10 21:04:01,GiratinaTech,trump train,Truth,lets go
2024-09-10 21:04:01,Truth,lets go,Truth,lets go
2024-09-10 21:04:04,GiratinaTech,2024,GiratinaTech,2024
2024-09-10 21:04:06,Truth,Everyone for Trump,Truth,Everyone for Trump
2024-09-10 21:04:10,Truth,USA for Trump,Truth,USA for Trump
2024-09-10 21:04:11,Lora,Go Emanuel for blue,Lora,Go Emanuel for blue
2024-09-10 21:04:13,Emanuel N,Trump can't even vote for himself,Emanuel N,Trump can't even vote for himself
2024-09-10 21:04:20,Jim Wilson,climate BS fake,Jim Wilson,climate BS fake
2024-09-10 21:04:24,Chris Kerr,TRUMP LET'S GOOOOOOOO!!!!!!!,Chris Kerr,TRUMP LET'S GOOOOOOOO!!!!!!!
2024-09-10 21:04:25,Curt ,zombies for Harris,Curt ,zombies for Harris
2024-09-10 21:04:28,Emanuel N,Nobody 4 TRUMP,Emanuel N,Nobody 4 TRUMP
2024-09-10 21:04:32,502 Paranormal Crue, #TRUMP2024 ,502 Paranormal Crue, #TRUMP2024 
2024-09-10 21:04:38,Truth,no but a Vote can change everything afterwards,Truth,no but a Vote can change everything afterwards
2024-09-10 21:04:40,Curt ,illegal immagrants for Harris,Curt ,illegal immagrants for Harris
2024-09-10 21:04:45,Lora,Felons can’t vote for awhile,Lora,Felons can’t vote for awhile
2024-09-10 21:04:55,Great to be back ,:hand-orange-covering-eyes::hand-orange-covering-eyes:,Great to be back ,:hand-orange-covering-eyes::hand-orange-covering-eyes:
2024-09-10 21:05:08,younglink309,cemeteries for harris,younglink309,cemeteries for harris
2024-09-10 21:05:09,Truth,Democrats would crucify anyone even Christ ,Truth,Democrats would crucify anyone even Christ 
2024-09-10 21:05:11,Super Empath,Where's the trump harris debate??,Super Empath,Where's the trump harris debate??
2024-09-10 21:05:12,Robert Desmond,"Comrade Harris, won't answer a single question. Bable endlessly. Bafoon",Robert Desmond,"Comrade Harris, won't answer a single question. Bable endlessly. Bafoon"
2024-09-10 21:05:17,Jim Wilson,cats and dogs for Trump,GiratinaTech,"curt that's why they're here after all, they gotta replace that loyal voting base"
2024-09-10 21:05:17,GiratinaTech,"curt that's why they're here after all, they gotta replace that loyal voting base",GiratinaTech,"curt that's why they're here after all, they gotta replace that loyal voting base"
2024-09-10 21:05:24,Truth,Why volume drop?,Truth,Why volume drop?
2024-09-10 21:05:30,Emanuel N,LMAO he's against the EPA....how is going to have clean water?,Emanuel N,LMAO he's against the EPA....how is going to have clean water?
2024-09-10 21:05:36,Emanuel N,Please stop Trump,Emanuel N,Please stop Trump
2024-09-10 21:05:46,Truth,Trump cleaned up Flint dummy,Truth,Trump cleaned up Flint dummy
